,country,region,district,street,address,lat,lon
0,Chile,Region Metropolitana,Cerrillos,Camino a Lonquen 7518,Chile Region Metropolitana Cerrillos Camino a Lonquen 7518,-33.5064,-70.71276
1,Chile,Region Metropolitana,La Reina,Fernando Castillo Velasco 9750,Chile Region Metropolitana La Reina Fernando Castillo Velasco 9750,-33.4521555,-70.5312144
2,Chile,Region Metropolitana,Quinta Normal,Ayuntamiento 1650,Chile Region Metropolitana Quinta Normal Ayuntamiento 1650,-33.4285536,-70.7027418
3,Chile,Region Metropolitana,Cerro Navia,Mapocho 7360,Chile Region Metropolitana Cerro Navia Mapocho 7360,-33.4229867,-70.7398572
4,Chile,Region Metropolitana,San Joaquín,Coñimo 286,Chile Region Metropolitana San Joaquín Coñimo 286,-33.5104509,-70.6236907
5,Chile,Region Metropolitana,Colina,Avenida Concepcion 398,Chile Region Metropolitana Colina Avenida Concepcion 398,-33.20459,-70.67443
6,Chile,Region Metropolitana,Pedro Aguirre Cerda,Paseo Grohnert 5510,Chile Region Metropolitana Pedro Aguirre Cerda Paseo Grohnert 5510,-33.49707,-70.6807199
7,Chile,Region Metropolitana,La Cisterna,Gran Avenida Jose Miguel Carrrera 8585,Chile Region Metropolitana La Cisterna Gran Avenida Jose Miguel Carrrera 8585,-33.5305,-70.66244
8,Chile,Region Metropolitana,La Florida,Serafín Zamora 6600,Chile Region Metropolitana La Florida Serafín Zamora 6600,-33.51616,-70.58987
9,Chile,Region Metropolitana,La Florida,Alonso de Ercilla 1200,Chile Region Metropolitana La Florida Alonso de Ercilla 1200,-33.5162101,-70.5900123
10,Chile,Region Metropolitana,Paine,Avenida 18 de septiembre 39,Chile Region Metropolitana Paine Avenida 18 de septiembre 39,-33.8080391,-70.7414626
11,Chile,Region Metropolitana,Buin,Manuel Montt s/n esquina Carlos Condell,Chile Region Metropolitana Buin Manuel Montt s/n esquina Carlos Condell,-33.73158,-70.74253
12,Chile,Region Metropolitana,Lo Barnechea,Av. El Tranque 10300,Chile Region Metropolitana Lo Barnechea Av. El Tranque 10300,-33.36012,-70.53581
13,Chile,Region Metropolitana,Lampa,Sargento Aldea 1036,Chile Region Metropolitana Lampa Sargento Aldea 1036,-33.2856432,-70.8739332
14,Chile,Region Metropolitana,La Pintana,Avenida Santa Rosa 12975,Chile Region Metropolitana La Pintana Avenida Santa Rosa 12975,-33.5854799,-70.6288902
15,Chile,Region Metropolitana,Estación Central,Las Lilas 5809,Chile Region Metropolitana Estación Central Las Lilas 5809,-33.4631103,-70.7112629
16,Chile,Region Metropolitana,San Ramón,Santa Rosa 9441,Chile Region Metropolitana San Ramón Santa Rosa 9441,-33.55137,-70.63263
17,Chile,Region Metropolitana,Macul,Amanda Labarca 4835,Chile Region Metropolitana Macul Amanda Labarca 4835,-33.47509,-70.5798499
